ticker,name,source,market_cap,avg_volume,last_price
AAPL,Apple Inc. - Common Stock,nasdaq,4298695246506.592,44370506.0,292.67999267578125
AMZN,"Amazon.com, Inc. - Common Stock",nasdaq,2893554762139.743,48310172.0,268.989990234375
AVGO,Broadcom Inc. - Common Stock,nasdaq,2028473855393.3745,24097526.0,428.42999267578125
AMD,"Advanced Micro Devices, Inc. - Common Stock",nasdaq,748103281100.165,38986078.0,458.7900085449219
ASML,ASML Holding N.V. - New York Registry Shares,nasdaq,603490856616.7163,1694378.0,1565.81005859375
COST,Costco Wholesale Corporation - Common Stock,nasdaq,443417391156.167,1845968.0,999.469970703125
CSCO,"Cisco Systems, Inc. - Common Stock",nasdaq,389933445927.8868,22361101.0,98.72000122070312
AMAT,"Applied Materials, Inc. - Common Stock",nasdaq,352061205323.4918,6768119.0,443.6199951171875
ADI,"Analog Devices, Inc. - Common Stock",nasdaq,206378548652.18106,3784103.0,422.7300109863281
AMGN,Amgen Inc. - Common Stock,nasdaq,177978598022.46094,2645213.0,329.5899963378906
APP,Applovin Corporation - Class A Common Stock,nasdaq,160720190147.72665,5216727.0,478.4200134277344
CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",nasdaq,138024976363.1682,4020913.0,542.260009765625
BKNG,Booking Holdings Inc. - Common Stock,nasdaq,122275819565.54132,10118391.0,157.8000030517578
CEG,Constellation Energy Corporation - Common Stock When-Issued,nasdaq,108576091136.18848,3168134.0,299.69000244140625
EQIX,"Equinix, Inc. - Common Stock",nasdaq,107127627773.17773,645209.0,1086.219970703125
CME,CME Group Inc. - Class A Common Stock,nasdaq,102395499409.59494,2328972.0,282.5799865722656
CDNS,"Cadence Design Systems, Inc. - Common Stock",nasdaq,100452190566.89453,2595283.0,364.20001220703125
ADBE,Adobe Inc. - Common Stock,nasdaq,99493827532.95898,5697454.0,246.14999389648438
CMCSA,Comcast Corporation - Class A Common Stock,nasdaq,89412883234.5647,31812470.0,25.030000686645508
ADP,"Automatic Data Processing, Inc. - Common Stock",nasdaq,84611754739.00467,3702855.0,211.6699981689453
CSX,CSX Corporation - Common Stock,nasdaq,83133135536.26437,12517593.0,44.7400016784668
ABNB,"Airbnb, Inc. - Class A Common Stock",nasdaq,81479687600.94708,4290254.0,137.0500030517578
DDOG,"Datadog, Inc. - Class A Common Stock",nasdaq,72017868045.61029,5582713.0,202.32000732421875
AEP,"American Electric Power Company, Inc. - Common Stock",nasdaq,71114515958.02345,3326937.0,130.6999969482422
DASH,"DoorDash, Inc. - Common Stock",nasdaq,68551627330.08481,5126570.0,157.3300018310547
CTAS,Cintas Corporation - Common Stock,nasdaq,65882345153.148605,2237372.0,164.6699981689453
BKR,Baker Hughes Company - Common Stock,nasdaq,64087636312.4233,9265042.0,64.5999984741211
CRWV,"CoreWeave, Inc. - Class A Common Stock",nasdaq,62576917021.251434,28114347.0,114.69999694824219
COIN,"Coinbase Global, Inc. - Class A Common Stock",nasdaq,57065603523.6369,12018608.0,216.60000610351562
EA,Electronic Arts Inc. - Common Stock,nasdaq,50105798722.34549,2101442.0,200.22000122070312
ADSK,"Autodesk, Inc. - Common Stock",nasdaq,49845060950.04401,2137193.0,236.07000732421875
EBAY,eBay Inc. - Common Stock,nasdaq,48009718780.51758,6016662.0,108.12999725341797
CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares,nasdaq,41377513877.80168,1891491.0,93.44999694824219
CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,nasdaq,38775066611.95862,6994062.0,210.22000122070312
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",nasdaq,38029720804.382355,1171996.0,284.8399963378906
ESLT,Elbit Systems Ltd. - Ordinary Shares,nasdaq,37179517939.418335,166767.0,794.9500122070312
ALAB,"Astera Labs, Inc. - Common Stock",nasdaq,35541437197.841034,5300398.0,207.35000610351562
ACGL,Arch Capital Group Ltd. - Common Stock,nasdaq,32783225681.791443,1980293.0,93.83000183105469
CASY,"Caseys General Stores, Inc. - Common Stock",nasdaq,32510295197.796326,585695.0,877.0700073242188
CPRT,"Copart, Inc. - Common Stock",nasdaq,32049270509.727585,9154098.0,33.27000045776367
AXON,"Axon Enterprise, Inc. - Common Stock",nasdaq,31786233905.025513,1117444.0,394.3599853515625
BIIB,Biogen Inc. - Common Stock,nasdaq,29224766859.597275,1119655.0,197.9499969482422
CINF,Cincinnati Financial Corporation - Common Stock,nasdaq,25264985854.099884,784804.0,163.3300018310547
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,nasdaq,23295250000.0,7037180.0,49.25
DXCM,"DexCom, Inc. - Common Stock",nasdaq,22893844431.964523,4554486.0,59.33000183105469
ENTG,"Entegris, Inc. - Common Stock",nasdaq,22715544070.43457,2592806.0,149.14999389648438
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",nasdaq,22254008622.220688,5870793.0,66.44999694824219
AKAM,"Akamai Technologies, Inc. - Common Stock",nasdaq,22245427058.883865,5569280.0,153.00999450683594
CHTR,"Charter Communications, Inc. - Class A Common Stock",nasdaq,20864750354.447174,2292732.0,147.7899932861328
CHRW,"C.H. Robinson Worldwide, Inc. - Common Stock",nasdaq,20036059175.552032,2197127.0,169.97999572753906
AMKR,"Amkor Technology, Inc. - Common Stock",nasdaq,19009344010.577515,4492178.0,76.69000244140625
CG,The Carlyle Group Inc. - Common Stock,nasdaq,17804334829.85357,3404088.0,49.459999084472656
