ticker,model_version,entry_policy_version,signal_observed_at,entry_status,entry_event,price,price_asof,intrinsic_value_per_share,stress_value_per_share,discount_to_value,stress_discount,entry_price,deep_entry_price,fundamentals_asof,financial_asof,entry_reason,financial_period_source,entry_binding_constraint,entry_value_ceiling,entry_stress_ceiling,entry_yield_ceiling
KFY,MOS_Radar_V6.8.0,3,2026-09-11T17:43:00.912289+00:00,REVIEW_REQUIRED,STATE_CHANGED,77.74,2026-09-11T17:26:19+00:00,38.8745367508187,25.418794800291256,-0.9997665952472808,-2.0583668742276178,,,2026-09-11T17:26:56.043340+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-14T18:59:57.557105+00:00,REVIEW_REQUIRED,UNCHANGED,77.95,2026-09-14T18:45:00+00:00,38.874537204524565,25.41879509695476,-1.005168565477546,-2.0666284417760865,,,2026-09-14T18:46:47.139561+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-15T18:12:10.894746+00:00,REVIEW_REQUIRED,UNCHANGED,78.1,2026-09-15T17:52:59+00:00,38.87453644209013,25.418794598423688,-1.0090271717154105,-2.072529647210071,,,2026-09-15T17:57:25.492329+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-16T18:09:57.045404+00:00,REVIEW_REQUIRED,UNCHANGED,77.94,2026-09-16T17:53:01+00:00,38.87453446486605,25.4187933055812,-1.0049114689833891,-2.066235248188857,,,2026-09-16T17:54:39.166327+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-17T18:03:42.585758+00:00,REVIEW_REQUIRED,UNCHANGED,76.775,2026-09-17T17:47:46+00:00,38.87453490995968,25.41879359661344,-0.9749432418374788,-2.020402982863388,,,2026-09-17T17:50:29.964582+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-18T17:22:40.532557+00:00,REVIEW_REQUIRED,UNCHANGED,76.67,2026-09-18T17:09:37+00:00,38.87453661099151,25.418794708862805,-0.9722421585939128,-2.016272049015265,,,2026-09-18T17:10:59.956326+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-21T19:07:35.488628+00:00,REVIEW_REQUIRED,UNCHANGED,76.73,2026-09-21T18:45:16+00:00,38.87453398181992,25.41879298973304,-0.9737857188431788,-2.018632711277525,,,2026-09-21T18:54:26.706262+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-22T17:56:47.814581+00:00,REVIEW_REQUIRED,UNCHANGED,75.565,2026-09-22T17:44:14+00:00,38.87453442659347,25.418793280556,-0.9438174916972676,-1.972800445952056,,,2026-09-22T17:44:21.045687+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-23T18:10:35.821848+00:00,REVIEW_REQUIRED,UNCHANGED,74.645,2026-09-23T17:57:01+00:00,38.8745374308438,25.41879524493754,-0.9201514650248992,-1.9366065260259115,,,2026-09-23T17:57:52.840308+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-24T18:14:34.227081+00:00,REVIEW_REQUIRED,UNCHANGED,71.14,2026-09-24T17:59:37+00:00,38.87453601610612,25.418794319886604,-0.8299896870930104,-1.7987165364622757,,,2026-09-24T18:02:02.482844+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
KFY,MOS_Radar_V6.8.0,3,2026-09-25T18:12:58.958273+00:00,REVIEW_REQUIRED,UNCHANGED,71.55,2026-09-25T18:00:15+00:00,38.87453402449825,25.418793017639018,-0.8405365310593838,-1.8148464779719817,,,2026-09-25T18:00:43.566643+00:00,2026-07-31,保守价值较上次下修超过15%，先重做投资论点,QUARTER_SUM,,,,
