ticker,model_version,qv_policy_version,watch_observed_at,qv_status,qv_reason,qv_event,trend_status,trend_reason,trend_event,price,price_asof,financial_asof,fundamentals_asof,entry_status,qv_price_limit,qv_pe,qv_normalized_owner_yield,roe,trend_asof,trend_adjusted_close,trend_ma50,trend_ma200,trend_momentum_6m,trend_benchmark_momentum_6m,trend_relative_6m,trend_benchmark,trend_benchmark_close,trend_observations
AAPL,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,319.97,2026-09-04T20:00:01+00:00,2026-06-30,2026-09-07T17:48:07.318683+00:00,WAIT_PRICE,124.14720523896844,36.21887685112201,0.0193998195516717,1.199125744047619,,,,,,,,,,
JNJ,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,275.23,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:48:39.240861+00:00,WAIT_PRICE,140.0577546902689,31.529040135392247,0.0254437660666113,0.247578585635099,,,,,,,,,,
NFLX,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,78.25,2026-09-04T20:00:00+00:00,2026-06-30,2026-09-07T17:48:52.292755+00:00,WAIT_PRICE,28.063926015435385,23.870829699929125,0.0179322210961248,0.4526936342508297,,,,,,,,,,
NVS,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,159.99,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:49:12.351960+00:00,WAIT_PRICE,128.78049165743994,23.837530586543732,0.0402464190441402,0.3070868037167204,,,,,,,,,,
KLAC,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,185.6,2026-09-04T20:00:01+00:00,2026-06-30,2026-09-07T17:49:24.096286+00:00,WAIT_PRICE,49.41989733299452,50.198009986258654,0.0133135499280696,0.7607729037988479,,,,,,,,,,
QCOM,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,168.74,2026-09-04T20:00:00+00:00,2026-06-30,2026-09-07T17:49:33.994326+00:00,WAIT_PRICE,134.33695663825304,19.46479451813495,0.039805901575872,0.3347675175356135,,,,,,,,,,
ADI,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,362.25,2026-09-04T20:00:01+00:00,2026-07-31,2026-09-07T17:49:41.545570+00:00,WAIT_PRICE,138.5818116443771,42.45070614109442,0.0191279243125434,0.1232457063666584,,,,,,,,,,
TJX,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,132.08,2026-09-04T20:02:40+00:00,2026-07-31,2026-09-07T17:50:16.956694+00:00,WAIT_PRICE,69.99255860877102,23.94669127921422,0.0264962744581961,0.5696178762557507,,,,,,,,,,
LMT,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,525.28,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:51:20.275211+00:00,WAIT_PRICE,507.76150520518615,19.282610704197207,0.0483324612782883,0.7170392335766423,,,,,,,,,,
SYK,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,303.13,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:51:21.903157+00:00,WAIT_PRICE,157.68834556145725,31.18061123810546,0.0260100197211521,0.1554527263631815,,,,,,,,,,
BMY,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WATCH,完整交易日趋势通过，需复核当前报价,FIRST_OBSERVATION,66.82,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:51:29.754431+00:00,WAIT_PRICE,90.879066394598,14.70525670012206,0.079761635168491,0.4158788476186209,2026-09-04T00:00:00+00:00,66.81999969482422,62.84862228393555,57.3030002784729,0.1375054375768878,0.1201908141361998,0.017314623440688,^GSPC,7718.60009765625,378.0
ACN,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WAIT,长均线或相对强度未同时通过；若此前持有，应复核趋势理由,FIRST_OBSERVATION,186.72,2026-09-04T20:00:03+00:00,2026-05-31,2026-09-07T17:51:36.657469+00:00,WAIT_PRICE,242.5049393517465,14.668224526208236,0.064938126433094,0.2442650908108686,2026-09-04T00:00:00+00:00,186.72000122070312,161.45261901855469,199.947373085022,-0.2773184828893069,0.1201908141361998,-0.3975092970255067,^GSPC,7718.60009765625,378.0
PH,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,962.59,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:51:42.775060+00:00,WAIT_PRICE,483.6669770745394,33.2598784456617,0.0251232080675333,0.2368216047779797,,,,,,,,,,
INTU,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,332.7,2026-09-04T20:00:01+00:00,2025-07-31,2026-09-07T17:51:44.677123+00:00,WAIT_PRICE,223.64432510205205,23.521779074457147,0.0336105087318984,0.1875515051626351,,,,,,,,,,
TT,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,447.9,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:51:51.604092+00:00,WAIT_PRICE,195.3771469529729,33.4175583707647,0.0218103535334865,0.3419963121455658,,,,,,,,,,
ADBE,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WAIT,长均线或相对强度未同时通过；若此前持有，应复核趋势理由,FIRST_OBSERVATION,266.51,2026-09-04T20:00:01+00:00,2026-05-31,2026-09-07T17:51:54.781667+00:00,WAIT_PRICE,316.1006173480624,14.654548192258394,0.0593037066804364,0.6276263240145858,2026-09-04T00:00:00+00:00,266.510009765625,248.8477981567383,267.93474983215333,-0.0696078145775855,0.1201908141361998,-0.1897986287137854,^GSPC,7718.60009765625,378.0
CDNS,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,292.7,2026-09-04T20:00:01+00:00,2026-06-30,2026-09-07T17:52:07.585230+00:00,WAIT_PRICE,65.84820327211406,58.49628841760629,0.0112484119016252,0.200933425858378,,,,,,,,,,
FTNT,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,156.29,2026-09-04T20:00:00+00:00,2026-06-30,2026-09-07T17:52:29.419821+00:00,WAIT_PRICE,42.81029965967466,54.07275989122176,0.013695789768915,1.367223260911611,,,,,,,,,,
ADP,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,277.62,2026-09-04T20:00:01+00:00,2026-06-30,2026-09-07T17:52:48.133011+00:00,WAIT_PRICE,194.158661693474,24.98936853812945,0.0349684211680487,0.7317615068311447,,,,,,,,,,
MNST,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,43.82,2026-09-04T20:00:01+00:00,2026-06-30,2026-09-07T17:52:55.074243+00:00,WAIT_PRICE,13.709961972730662,40.34725671773576,0.0156434983714407,0.2272144780283267,,,,,,,,,,
ITW,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,270.12,2026-09-04T20:00:03+00:00,2026-06-30,2026-09-07T17:54:12.927574+00:00,WAIT_PRICE,180.9866605749683,24.085840516397933,0.0335011588506901,1.103662750518314,,,,,,,,,,
CL,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,88.77,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:54:20.504867+00:00,WAIT_PRICE,51.1056072893664,34.7398278616955,0.0407793231534315,8.63135593220339,,,,,,,,,,
ROST,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,230.69,2026-09-04T20:00:00+00:00,2026-07-31,2026-09-07T17:54:38.047698+00:00,WAIT_PRICE,94.4175333925971,27.71451399452169,0.0204641582627329,0.3943334484125007,,,,,,,,,,
CTAS,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,200.47,2026-09-04T20:00:01+00:00,2026-05-31,2026-09-07T17:54:53.006273+00:00,WAIT_PRICE,75.90949631231496,40.2415599322794,0.018932881805835,0.3878511336922388,,,,,,,,,,
TEL,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,208.65,2026-09-04T20:02:03+00:00,2026-06-30,2026-09-07T17:55:20.355459+00:00,WAIT_PRICE,165.48467139982654,20.028824023591344,0.0396560439491556,0.2276913785293673,,,,,,,,,,
AME,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,237.72,2026-09-04T20:00:03+00:00,2026-06-30,2026-09-07T17:56:17.554582+00:00,WAIT_PRICE,126.35146850747518,34.57528418579299,0.0265756916766521,0.1399789694534908,,,,,,,,,,
ADSK,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,217.9,2026-09-04T20:00:01+00:00,2026-07-31,2026-09-07T17:56:45.295003+00:00,WAIT_PRICE,94.38596755609085,27.735139296202945,0.021658092601214,0.485368016553355,,,,,,,,,,
ROK,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,433.81,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:56:47.704768+00:00,WAIT_PRICE,159.88034022052813,40.1115952243506,0.018427461356415,0.3437321121923297,,,,,,,,,,
